,imdb_id,rating,rating_count,review_count,critics_count
30580,tt0475217,3.7,1247,33,4
30581,tt0131110,5.8,492,12,4
30582,tt2427502,6.2,3948,9,10
30583,tt2332883,6.8,1325,9,23
30584,tt3532608,7.2,3231,7,11
30585,tt2124787,4.7,10279,102,62
30586,tt2769184,4.3,1797,25,29
30587,tt1675197,6.6,747,7,2
30588,tt0473103,5.6,351,7,1
30589,tt2215457,4.7,1642,9,9
30590,tt0464059,5.4,442,1,1
30591,tt1386741,6.0,753,8,7
30592,tt1355235,6.2,349,2,3
30593,tt0068941,7.3,353,3,
30594,tt2364897,3.9,6606,53,51
30595,tt0875148,6.5,366,5,1
30596,tt0096282,6.9,843,19,4
30597,tt1692227,5.4,644,6,16
30598,tt3212392,6.2,305,0,22
30599,tt0425235,7.3,2301,7,19
30600,tt0197626,6.1,1107,14,2
30601,tt0443057,7.2,331,7,13
30602,tt0239723,8.5,2205,16,1
30603,tt0382711,6.5,355,4,9
30604,tt2952634,7.0,487,0,31
30605,tt0089529,6.4,564,12,2
30606,tt0078012,7.1,1119,4,4
30607,tt0069094,7.2,498,4,1
30608,tt0065662,7.2,789,8,5
30609,tt0374212,3.0,141,14,3
30610,tt2836376,6.8,986,7,
30611,tt4703660,6.9,858,1,
30612,tt3349884,6.8,257,3,
30613,tt3733678,5.8,312,6,2
30614,tt3547900,4.3,1027,32,18
30615,tt2062989,6.6,618,3,25
30616,tt0003471,6.2,466,13,9
30617,tt0085665,6.0,150,3,4
30618,tt0173226,7.1,84,1,
30619,tt2338874,7.3,395,2,
30620,tt0492896,7.2,1319,14,12
30621,tt2841572,7.2,1398,15,53
30622,tt0074706,6.1,721,15,20
30623,tt5309926,8.2,57,0,
30624,tt0431619,7.9,3257,4,2
30625,tt0110438,6.9,4654,6,
30626,tt0251756,6.2,900,6,5
30627,tt0102701,8.0,1599,10,
30628,tt0477857,7.8,1623,10,3
30629,tt0211126,8.0,2357,20,1
30630,tt0201470,7.0,313,12,6
30631,tt0098155,7.6,654,11,9
30632,tt1616543,7.2,1011,8,13
30633,tt1866570,6.0,2684,23,2
30634,tt1504261,7.0,834,16,7
30635,tt0913262,6.5,785,8,5
30636,tt0061450,6.5,2724,27,8
30637,tt0068161,8.4,2692,13,2
30638,tt0201060,7.2,260,3,6
30639,tt0110577,6.0,139,6,4
30640,tt1155053,7.2,2858,10,25
30641,tt1274295,7.4,14031,94,15
30642,tt0296574,8.0,11590,38,16
30643,tt2199711,8.4,36477,231,26
30644,tt0488414,8.1,15239,82,19
30645,tt0211934,6.9,13988,10,1
30646,tt0136352,6.3,6878,19,3
30647,tt0220757,7.7,2018,8,2
30648,tt0099652,7.7,3121,21,1
30649,tt0495034,7.4,10492,21,5
30650,tt0104770,7.2,2511,6,19
30651,tt2073070,7.2,3245,11,24
30652,tt0284137,7.1,7737,19,2
30653,tt0080166,7.4,968,13,24
30654,tt0297814,8.1,2317,19,12
30655,tt1836912,7.3,6646,42,14
30656,tt0319020,6.4,6321,13,2
30657,tt0080156,6.7,153,8,3
