"id","name"
78685,"Cameron Bancroft"
18658,"Mia Kirshner"
78686,"Joanne Vannicola"
69597,"Drew Barrymore"
175540,"Richard Chaim"
162949,"Robert Nadir"
11662,"Jason Lee"
23646,"Jeremy London"
19144,"Shannen Doherty"
4174,"Claire Forlani"
880,"Ben Affleck"
56895,"Amy Jo Johnson"
50098,"Jason David Frank"
56896,"David Yost"
50096,"Johnny Yong Bosch"
56897,"Steve Cardenas"
20,"Elizabeth Perkins"
3391,"Kathleen Turner"
2395,"Whoopi Goldberg"
32362,"Jon Bon Jovi"
545828,"Marina Zudina"
102754,"Fay Ripley"
88519,"Evan Richards"
550752,"Igor Volkov"
1281840,"Sergei Karlenkov"
8949,"Peter Fonda"
5602,"David Lynch"
2179,"Suzy Amis"
15440,"Jared Harris"
18325,"Jeremy Northam"
18326,"Dennis Miller"
18327,"Wendy Gazelle"
18328,"Ken Howard"
7489,"Parker Posey"
23626,"Liev Schreiber"
176628,"Anthony DeSando"
8695,"Guillermo Díaz"
56694,"Donna Mitchell"
13550,"Elias Koteas"
12519,"Virginia Madsen"
6163,"Adam Goldberg"
12021,"Mia Farrow"
3417,"Tony Goldwyn"
349,"Scott Glenn"
18248,"Mary-Louise Parker"
3982,"Xander Berkeley"
14329,"Dean Norris"
54246,"Peter Friedman"
54348,"Kate McGregor-Stewart"
64,"Gary Oldman"
3087,"Robert Duvall"
3545,"Edward Hardwicke"
103902,"Kurtis Blow"
16450,"Sean Combs"
19767,"Snoop Dogg"
2041,"Dr. Dre"
153997,"Warren G."
19189,"Elizabeth Berkley"
6677,"Kyle MacLachlan"
11150,"Gina Gershon"
2683,"Glenn Plummer"
2055,"Robert Davi"
227,"William Hurt"
4808,"Giancarlo Esposito"
10963,"José Zúñiga"
46395,"Stephen Gevedon"
6065,"Dennis Quaid"
26467,"Kyra Sedgwick"
57395,"Natasha Henstridge"
2282,"Ben Kingsley"
18992,"Aidan Quinn"
3713,"Frances Fisher"
6197,"Brian Dennehy"
78717,"Lexi Randall"
5469,"Ralph Fiennes"
7132,"Vincent DOnofrio"
5476,"Nino Castelnuovo"
28608,"Anne Vernon"
46935,"Mireille Perrey"
46936,"Marc Michel"
30613,"Keith Carradine"
20005,"Moira Kelly"
147119,"Vincent Spano"
1236832,"Julia Devin"
723,"Patrick Swayze"
4787,"Joseph Mazzello"
24535,"David Marshall Grant"
40938,"Romane Bohringer"
19068,"Dominique Blanc"
150916,"Nita Klein"
5723,"John Leguizamo"
52474,"Jason London"
23880,"Steven Seagal"
10866,"Eric Bogosian"
5616,"Everett McGill"
25541,"Katherine Heigl"
9779,"Моррис Честнат"
1533,"Andie MacDowell"
50807,"Michael Richards"
1238944,"Nathan Watt"
56696,"Isaac Mizrahi"
56367,"Naomi Campbell"
547866,"John Galliano"
533007,"Kate Moss"
37946,"Aitana Sánchez-Gijón"
5401,"Anthony Quinn"
7353,"Angélica Aragón"
1194312,"Evangelina Elizondo"
1269,"Kevin Costner"
59350,"Chaim Girafi"
3432,"Rick Aviles"
49832,"R. D. Call"
59352,"Zitto Kazann"
33162,"Harry Belafonte"
6473,"Kelly Lynch"
13307,"Margaret Avery"
19453,"Tom Bower"
6913,"Ellen Barkin"
3926,"Albert Finney"
21245,"Greta Scacchi"
11511,"Daniel Stern"
4253,"Jon Polito"
1274,"Brad Sullivan"
43366,"Ann Dowd"
16293,"Anthony Heald"
82796,"Nikita Mikhalkov"
82795,"Oleg Menshikov"
14593,"Ingeborga Dapkunaite"
99311,"Vyacheslav Tikhonov"
500625,"Nadezhda Mikhalkova"
1641,"Katrin Cartlidge"
1118,"Rade Serbedzija"
136170,"Grégoire Colin"
113758,"Labina Mitevska"
17787,"Phyllida Law"
569,"Ethan Hawke"
1146,"Julie Delpy"
571,"Andrea Eckert"
572,"Hanno Pöschl"
