"movie_id","actor_id"
11863,2712
11863,16554
55475,222473
55475,222477
55475,71839
55475,222474
55475,1809293
124636,1650801
124636,1292738
124636,1292739
124636,1292740
124636,1650802
9101,7090
9101,34485
9101,60949
9101,5048
9101,6905
123360,3830
123360,54782
5757,45382
5757,45386
5757,45387
5757,45388
5757,45389
39428,93396
39428,3272
39428,4800
39428,2958
39428,5724
9302,4135
9302,1160
9302,8893
9302,3266
9302,18794
11000,2157
11000,193
11000,78729
11000,1902
11000,31511
249882,8349
249882,13919
249882,14990
249882,925
249882,14102
16388,86308
16388,21398
16388,86309
16388,86310
16388,12833
9737,2888
9737,78029
9737,4939
9737,10698
9737,532
30765,32747
30765,108210
30765,108211
30765,108212
30765,108213
10474,6193
10474,11478
10474,65395
10474,13240
10474,9257
22279,4566
22279,3291
22279,95789
22279,47754
22279,2629
30157,17882
30157,42993
30157,17257
30157,2
568,31
568,2053
568,4724
568,33
568,228
11780,3896
11780,4431
11780,5049
11780,3129
11780,7036
34996,3127
34996,4690
34996,18750
34996,36190
34996,11486
414,5576
414,2176
414,206
414,2227
414,5577
649,50
649,3784
649,9762
649,9763
649,17577
1873,4687
1873,3910
1873,19668
1873,8978
5894,1037
5894,46392
5894,521
5894,46393
5894,10437
1775,7180
1775,21278
1775,24203
8839,6886
8839,8984
8839,14702
8839,10713
8839,159788
20649,1037
20649,1241
20649,18792
20649,327
20649,21353
10329,350
10329,21043
10329,8874
10329,13472
10329,31511
8963,5292
8963,193
26564,73033
26564,95663
26564,1369235
26564,1369236
26564,1369237
8068,3131
8068,3136
8068,22462
8068,11159
8068,884
8512,5292
8512,3197
8512,3130
8512,1896
8512,7868
1572,62
1572,16940
1572,2231
1572,6804
1572,13023
13552,16850
13552,1582
13552,51670
13552,157847
13552,61632
259209,6368
259209,22169
259209,9138
259209,17648
259209,21343
6520,738
6520,1205
6520,15887
6520,29068
6520,15498
9073,18259
9073,147
9073,18261
9073,18260
9073,8184
10428,9012
10428,11701
10428,17772
10428,26457
10428,28863
17447,6106
17447,2387
17447,42722
17447,10205
17447,11870
9886,6384
9886,2133
9886,3317
9886,21411
9886,16644
9482,16483
9482,2882
9482,23346
9482,60949
9482,920
19326,64998
19326,13445
19326,2283
19326,1535
19326,3093
9344,57387
9344,5916
9344,2838
9344,57389
9344,1187713
9071,884
9071,2229
9071,20212
9071,6474
9071,22970
8973,2154
8973,18916
8973,10696
8973,156136
8973,1473
15730,13638
15730,73296
15730,78685
15730,18658
15730,78686
47608,5577
47608,69597
47608,26457
47608,175540
47608,162949
2293,11662
2293,23646
2293,19144
2293,4174
2293,880
9070,56895
9070,50098
9070,56896
9070,50096
9070,56897
68274,20
68274,12052
68274,3391
68274,2395
68274,32362
48787,545828
48787,102754
48787,88519
48787,550752
48787,1281840
34574,17257
34574,8949
34574,5602
34574,2179
34574,15440
1642,18277
1642,18325
1642,18326
1642,18327
1642,18328
11472,3291
11472,1231
11472,74036
11472,3234
11472,4785
36196,7489
36196,23626
36196,176628
36196,8695
36196,56694
11980,4690
11980,13550
11980,12519
11980,7036
11980,6163
58372,12021
58372,3417
58372,349
58372,18248
32646,1231
32646,3982
32646,14329
32646,54246
32646,54348
10533,3416
10533,64
10533,3087
10533,10360
10533,3545
56088,103902
56088,16450
56088,19767
56088,2041
56088,153997
10802,19189
10802,6677
10802,11150
10802,2683
10802,2055
10149,1037
10149,227
10149,4808
10149,10963
10149,46395
18402,1204
18402,6065
18402,3087
18402,4800
18402,26467
9348,57395
9348,2282
9348,147
9348,658
139408,3087
139408,18992
139408,3713
139408,6197
139408,78717
281,5469
281,9780
281,3197
281,3196
281,7132
5967,50
5967,5476
5967,28608
5967,46935
5967,46936
79593,589
79593,30613
79593,20005
79593,147119
79593,1236832
47939,723
47939,1161
47939,4787
47939,24535
47939,6067
36834,6193
36834,11207
36834,40938
36834,19068
36834,150916
9090,723
9090,10814
9090,5723
9090,8893
9090,52474
3512,23880
3512,10866
3512,5616
3512,25541
3512,9779
52856,1533
52856,1241
52856,50807
52856,1238944
52856,7868
77350,3664
77350,56696
77350,56367
77350,547866
77350,533007
9560,6384
9560,37946
9560,5401
9560,7353
9560,1194312
9804,1269
9804,59350
9804,3432
9804,49832
9804,59352
31611,8891
31611,33162
31611,6473
31611,13307
31611,19453
65796,1229
65796,6913
65796,5049
65796,2882
65796,30613
49805,3926
49805,21245
49805,8654
49805,6104
49805,5658
26258,11511
26258,4253
26258,1274
26258,43366
26258,16293
50797,82796
50797,82795
50797,14593
50797,99311
50797,500625
19155,1641
19155,1118
19155,136170
19155,113758
19155,17787
76,569
76,1146
76,571
76,572
76,573
11017,19292
11017,7333
11017,20751
11017,11367
11017,33489
37141,5588
37141,23646
37141,22131
37141,18070
37141,23975
9382,2395
9382,18248
9382,69597
9382,10297
9382,1736
6715,51214
6715,4787
6715,18750
6715,18070
6715,2958
18256,27993
18256,27995
18256,80291
18256,105645
18256,27279
22625,5577
22625,6613
22625,89021
22625,9825
22625,10697
2292,23629
2292,23630
2292,19302
2292,19303
2292,23632
1909,85
1909,3084
1909,6450
1909,19888
1909,19889
8984,3392
8984,3416
8984,55636
8984,19152
8984,56485
61813,14326
61813,21089
61813,37041
61813,1743
61813,29446
4954,10814
4954,2048
4954,20759
4954,2169
4954,21563
62488,32597
62488,18331
62488,6474
62488,138
62488,26485
10531,10205
10531,2282
10531,14344
10531,65537
10531,65538
11929,8534
11929,10431
11929,33448
11929,290
11929,11064
8467,206
8467,8447
8467,34485
8467,8437
8467,5170
10451,1623
10451,65352
10451,65353
10451,65354
10451,57054
20156,21089
20156,18658
20156,13550
20156,20173
20156,98
18395,65002
18395,24589
18395,12929
18395,707
18395,1210
522,85
522,2641
522,520
522,4687
522,4004
397,5344
397,8945
397,16327
397,1003
397,16328
10525,7904
10525,26513
10525,3266
10525,65528
10525,15416
27985,13920
27985,17772
27985,52374
27985,19453
27985,48464
15789,84213
15789,61983
15789,43125
15789,12077
15789,93663
27303,4785
27303,77133
27303,5588
27303,23958
27303,658
21183,2231
21183,8654
21183,18331
21183,7036
21183,85313
10954,16240
10954,27392
10954,39195
10954,1924
10954,25838
47867,86812
47867,37825
72031,9778
72031,15309
72031,58813
72031,12312
72031,161537
14275,134119
14275,134120
14275,122449
1024,15091
1024,204
1024,15092
1024,15093
1024,15094
17207,57119
17207,14104
17207,4004
17207,387
17207,59945
13701,64
13701,1924
13701,6588
13701,55851
13701,23797
14819,7399
14819,77337
14819,77330
14819,26042
14819,32394
32631,38559
32631,11389
32631,6720
32631,81108
32631,80607
11777,504
11777,5344
11777,6837
11777,23708
11777,11275
628,287
628,500
628,205
628,3131
628,2224
87729,1733
87729,21245
87729,9030
87729,12052
87729,18766
18713,77761
18713,83480
18713,1903
18713,21282
18713,47774
6280,1100
6280,518
6280,7056
6280,8924
6280,14699
9061,738
9061,2975
9061,56871
9061,689
9061,15532
37108,21403
37108,14324
37108,10672
37108,8784
37108,204
6071,16560
6071,2231
6071,2963
6071,9994
6071,49824
11,2
11,3
11,4
11,5
11,12248
9587,1920
9587,5168
9587,17187
9587,20767
9587,205
19101,84093
19101,45453
19101,15498
19101,34407
19101,4938
49980,110077
49980,195410
49980,1168012
49980,1168013
49980,5538
17961,4885
17961,33161
17961,55926
17961,20853
17961,47336
18183,27643
18183,74940
18183,1068840
18183,553167
18183,148189
4476,287
4476,4173
4476,18992
4476,15887
4476,9976
11008,22675
